5335 01372 1|H|079.43137078|-10.97959351|   10.9|   -3.3| 11.6| 10.4|  2.3|  1.9|H|      |     |11.430|0.034|  9|T| 24687B
5369 00285 1|H|098.54918638|-10.95736353| -114.2|  270.8| 19.5| 13.3|  2.9|  2.1|H|      |     |11.871|0.043|  8|T| 31332B
5395 00203 1|H|110.00323456|-07.69926706|   -2.0|    0.4| 47.9| 28.4|  2.9|  1.7|H|      |     |11.964|0.134|  9|T| 35535B
5415 00597 1|H|117.40994233|-09.94588229|   -1.9|    0.0| 57.3| 50.2|  1.7|  1.5|H|      |     |12.334|0.247| 10|T| 38204B
5492 00987 1|H|159.25041108|-08.83998044| -101.2|  -74.0| 14.8|  7.5|  1.1|  1.0|H|      |     | 9.940|0.042|  9|T| 51966B
5508 00914 1|H|169.32750136|-08.92841391|  -11.2|    2.1| 50.5| 36.3|  2.2|  1.4|H|      |     |12.449|0.152|  9|T| 55139B
5520 01237 1|H|176.76637118|-11.82413741| -206.3|  -60.7| 92.3| 66.4|  2.5|  1.8|H|      |     |12.710|0.326| 10|T| 57494B
5582 00221 1|H|223.08053672|-09.95305343|   -6.9|  -10.7| 31.9| 26.4|  2.9|  2.3|H|      |     |11.571|0.144|  8|T| 72745B
5803 00426 1|H|333.14896756|-08.01415439|   59.5|  -40.2| 16.5| 19.1|  1.2|  0.7|H|      |     |10.214|0.057| 10|T|109637B
5833 00394 1|H|355.28695114|-11.68091595|   68.5|    3.2| 31.2| 28.5|  1.2|  0.8|H|      |     |10.054|0.105|  9|T|116853B
5835 00511 1|H|352.93751385|-14.80650233|  -13.4|   -0.4| 20.8| 14.1|  2.3|  1.2|H|      |     |11.104|0.071|  9|T|116123B
5850 02582 1|H|012.32617627|-21.39716999|   27.2|    6.1| 59.8| 57.4|  2.9|  1.8|H|      |     |12.526|0.406|  9|T|  3845B
5860 01764 1|H|038.97075536|-15.24151054|  -19.6|  -21.5| 11.5| 12.6|  1.7|  1.7|H|      |     |11.600|0.047| 10|T| 12095B
5941 01651 1|H|093.92384392|-20.20182063|    2.2|   15.6| 30.1| 38.6|  0.8|  0.9|H|      |     |11.665|0.187| 10|T| 29733B
5998 01925 1|H|126.00306336|-15.79735608|  -28.5|  -13.4| 12.8|  9.4|  1.4|  1.3|H|      |     |10.782|0.038|  9|T| 41171B
6079 00723 1|H|164.15728370|-18.66978043|  -52.9|  -28.7| 36.5| 35.3|  1.7|  1.5|H|      |     |12.396|0.121| 10|T| 53497B
6122 00066 1|H|204.26317917|-16.44687316|  -14.0|  -18.1| 13.6|  6.8|  1.2|  0.8|H|      |     |10.469|0.035| 10|T| 66423B
6163 00147 1|H|223.40170487|-19.14728742|    5.2|    2.3| 23.5| 16.3|  1.2|  1.0|H|      |     |11.923|0.099|  9|T| 72865B
6171 00242 1|H|231.43926001|-15.72402644|  -20.5|   -9.0| 13.3| 10.2|  2.9|  2.4|H|      |     |11.887|0.034| 10|T| 75525B
6189 00024 1|H|235.11870726|-18.69568372|  -69.8| -157.1| 20.8| 12.1|  4.8|  2.9|H|      |     |11.855|0.045|  8|T| 76768B
6253 01604 1|H|266.86267824|-18.10690892|    1.7|   -4.8| 21.7|  8.2|  1.6|  1.0|H|      |     |10.300|0.059| 10|T| 87061B
6337 00040 1|H|306.70640673|-18.84656436|   -2.0|   -0.7| 13.8|  7.6|  2.6|  1.7|H|      |     |10.984|0.033|  8|T|100847B
6361 00384 1|H|323.41769858|-16.20047656|   32.2| -111.4| 15.6|  7.6|  1.4|  0.7|H|      |     | 9.931|0.030|  9|T|106456B
6378 00485 1|H|335.42957903|-17.16108040|  374.5| -238.1| 78.5| 64.8|  3.8|  2.1|H|      |     |13.679|0.261| 11|T|110401B
6424 01799 1|H|013.95443580|-29.67635130|  394.5|  174.4| 55.1| 54.6|  2.1|  1.2|H|      |     |13.201|0.188|  9|T|  4353B
6431 00758 1|H|025.83449710|-29.41343259|   15.4|  -10.4| 42.8| 49.9|  3.4|  2.1|H|      |     |13.382|0.114|  8|T|  8048B
6454 00169 1|H|056.34979561|-27.86306354|  260.7|  117.4| 19.8| 21.5| 11.1| 12.8|H|      |     |11.450|0.075| 10|T| 17544B
6528 01951 1|H|107.49357810|-24.40977554|   -4.1|    0.5| 18.5| 24.1|  1.3|  1.5|H|      |     |12.158|0.060|  8|T| 34599B
6557 04521 1|H|117.75060515|-24.52834713|   -2.9|  -29.2| 16.1| 17.2|  0.9|  0.7|H|      |     | 9.818|0.069| 10|T| 38316B
6560 01142 1|H|123.51927036|-25.71192662|   -6.9|    4.3| 21.6| 25.0|  1.2|  1.2|H|      |     |11.862|0.075|  9|T| 40329B
6598 00105 1|H|137.63782260|-28.18380361|   -5.4|   -0.2| 10.5|  7.5|  1.4|  1.0|H|      |     |11.008|0.038|  9|T| 45051B
6605 01821 1|H|143.66918929|-25.91098575|  -28.8|   12.0| 14.1| 12.6|  1.7|  1.5|H|      |     |11.590|0.047|  9|T| 46992B
6641 01200 1|H|160.37738889|-27.07756934| -227.9|   66.4| 12.6| 15.1|  1.4|  1.3|H|      |     |11.817|0.053| 10|T| 52325B
6796 00911 1|H|249.57993858|-22.89285736|  -35.8|  -58.3| 20.2| 11.4|  1.2|  0.9|H|      |     |10.659|0.054|  9|T| 81464B
6992 00105 1|H|002.07736248|-32.70104320|   69.7|  -51.6| 25.7| 23.2|  1.4|  1.1|H|      |     |11.710|0.112|  9|T|   673B
6999 02068 1|H|017.27370242|-33.60820956|   51.3|   -2.2| 60.7| 33.6|  1.5|  1.1|H|      |     |12.759|0.196|  9|T|  5399B
7014 00007 1|H|039.34993754|-33.07528937|  -47.4|  -52.2| 63.2| 89.0|  1.0|  1.1|H|      |     |12.784|0.271|  9|T| 12224B
7043 00800 1|H|064.42088837|-35.96694422|   43.8|   53.1| 12.0| 13.1|  1.7|  2.2|H|      |     |11.872|0.052| 11|T| 20024B
7047 00404 1|H|077.84419956|-31.90885879|   14.9|    9.4| 16.4| 18.8|  1.1|  1.2|H|      |     |11.618|0.082| 10|T| 24168B
7053 02047 1|H|076.10888512|-35.70545340|   28.5|   40.6|  9.1| 11.2|  0.6|  0.8|H|      |     | 9.565|0.054|  9|T| 23596B
7082 01261 1|H|098.99823838|-35.17160831|   29.4|   57.7|  6.5|  7.7|  3.8|  6.0|H|      |     | 9.751|0.019|  8|T| 31521B
7098 00640 1|H|105.98337803|-34.26736661|   -1.9|   -9.3| 16.8| 25.4|  0.9|  0.9|H|      |     |11.381|0.073| 10|T| 34062B
7121 00718 1|H|122.59824848|-30.23307888|  -36.1|   64.2|  9.8| 13.4|  1.0|  1.0|H|      |     |11.185|0.049|  9|T| 40018B
7198 00013 1|H|160.28844506|-36.89525863|  167.0| -193.6| 32.1| 31.6|  2.3|  2.3|H|      |     |12.753|0.151| 10|T| 52296B
7221 00771 1|H|177.43000846|-32.44411113|  -73.5|   32.1| 11.1|  8.8|  1.4|  1.0|H|      |     |10.481|0.035| 10|T| 57672B
